Objects
100
,,Global Angle antbot:antbot,,,,,,Global Angle fw450_1:fw450_1,,,,,,Global Angle qav250_1:qav250_1,,,,,,Global Angle qav400:qav400,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
154,0,0.00098183,0.00226162,-1.70703,-13.5996,1027.05,96.7275,,,,,,,,,,,,,,,,,,
155,0,0.000725327,0.00259452,-1.7071,-13.6071,1027.08,96.7331,,,,,,,,,,,,,,,,,,
156,0,0.000666808,0.00254554,-1.70706,-13.5892,1027.05,96.739,,,,,,,,,,,,,,,,,,
157,0,-4.57889e-05,0.00420212,-1.70694,-13.6172,1027.03,96.793,,,,,,,,,,,,,,,,,,
158,0,-0.00411142,0.0106142,-1.70664,-13.6569,1026.92,96.9481,,,,,,,,,,,,,,,,,,
159,0,3.30537e-05,0.00394175,-1.7069,-13.6275,1027.03,96.8085,,,,,,,,,,,,,,,,,,
160,0,0.000249486,0.00306832,-1.70708,-13.6005,1027.05,96.7166,,,,,,,,,,,,,,,,,,
161,0,0.000761109,0.00251932,-1.70703,-13.5945,1027.06,96.7387,,,,,,,,,,,,,,,,,,
162,0,0.000856855,0.0025901,-1.70702,-13.6111,1027.06,96.7636,,,,,,,,,,,,,,,,,,
163,0,-0.00107204,0.00492318,-1.70689,-13.642,1027.03,96.7649,,,,,,,,,,,,,,,,,,
164,0,-4.64871e-05,0.00349067,-1.70706,-13.5929,1027.05,96.7355,,,,,,,,,,,,,,,,,,
165,0,0.00206898,0.000991635,-1.70698,-13.614,1027.04,96.7249,,,,,,,,,,,,,,,,,,
166,0,0.000915213,0.00268905,-1.70703,-13.6028,1027.03,96.7291,,,,,,,,,,,,,,,,,,
167,0,0.000436779,0.00292522,-1.70699,-13.6013,1027.05,96.7171,,,,,,,,,,,,,,,,,,
168,0,0.000837433,0.00231161,-1.70707,-13.6082,1027.05,96.7249,,,,,,,,,,,,,,,,,,
169,0,-0.00416128,0.0107639,-1.70669,-13.6707,1026.91,96.8784,,,,,,,,,,,,,,,,,,
170,0,0.000546293,0.00282057,-1.7071,-13.6023,1027.04,96.7335,,,,,,,,,,,,,,,,,,
171,0,4.12558e-05,0.00338679,-1.70709,-13.6269,1027.04,96.7163,,,,,,,,,,,,,,,,,,
172,0,-0.00116165,0.00525638,-1.70699,-13.614,1027.03,96.7367,,,,,,,,,,,,,,,,,,
173,0,0.000174513,0.00339374,-1.707,-13.5916,1027.04,96.7419,,,,,,,,,,,,,,,,,,
174,0,0.000179987,0.00335547,-1.70702,-13.6032,1027.02,96.7308,,,,,,,,,,,,,,,,,,
175,0,0.000179734,0.00304235,-1.70692,-13.602,1027.04,96.7375,,,,,,,,,,,,,,,,,,
176,0,0.00650871,-0.00664439,-1.7071,-13.5714,1027.24,96.5266,,,,,,,,,,,,,,,,,,
177,0,0.00581656,-0.00577782,-1.70704,-13.5706,1027.26,96.5109,,,,,,,,,,,,,,,,,,
178,0,-0.00480472,0.0101059,-1.70696,-13.6374,1027.04,96.7806,,,,,,,,,,,,,,,,,,
179,0,0.0022108,0.00099081,-1.70704,-13.6002,1027.07,96.7318,,,,,,,,,,,,,,,,,,
180,0,0.000435474,0.00295677,-1.70697,-13.625,1027.04,96.7496,,,,,,,,,,,,,,,,,,
