Objects
100
,,Global Angle antbot:antbot,,,,,,Global Angle fw450_1:fw450_1,,,,,,Global Angle qav250_1:qav250_1,,,,,,Global Angle qav400:qav400,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
71,0,-0.0304833,-0.0114662,0.622629,-946.926,-1552.45,95.1063,,,,,,,,,,,,,,,,,,
72,0,-0.0413334,-0.0140054,0.622566,-946.949,-1552.53,95.21,,,,,,,,,,,,,,,,,,
73,0,-0.0399534,-0.0137435,0.622636,-946.937,-1552.55,95.1836,,,,,,,,,,,,,,,,,,
74,0,-0.0473936,-0.0162127,0.62226,-946.965,-1552.51,95.0456,,,,,,,,,,,,,,,,,,
75,0,-0.0344579,-0.0126421,0.622501,-946.917,-1552.47,95.0842,,,,,,,,,,,,,,,,,,
76,0,-0.0401987,-0.0138517,0.622507,-946.949,-1552.55,95.165,,,,,,,,,,,,,,,,,,
77,0,-0.0363595,-0.0133316,0.62243,-946.913,-1552.49,95.0713,,,,,,,,,,,,,,,,,,
78,0,-0.0326304,-0.011961,0.62238,-946.935,-1552.46,95.1,,,,,,,,,,,,,,,,,,
79,0,-0.0345976,-0.0127067,0.622412,-946.903,-1552.48,95.1057,,,,,,,,,,,,,,,,,,
80,0,-0.0408087,-0.0138822,0.622476,-946.939,-1552.53,95.1731,,,,,,,,,,,,,,,,,,
81,0,-0.0318036,-0.0118466,0.622407,-946.934,-1552.45,95.1043,,,,,,,,,,,,,,,,,,
82,0,-0.0463855,-0.0160792,0.622358,-946.943,-1552.52,95.0219,,,,,,,,,,,,,,,,,,
83,0,-0.0404458,-0.013867,0.622383,-946.947,-1552.55,95.1818,,,,,,,,,,,,,,,,,,
84,0,-0.0385402,-0.0133436,0.622525,-946.918,-1552.53,95.1407,,,,,,,,,,,,,,,,,,
85,0,-0.0523352,-0.0153172,0.621713,-947.049,-1552.5,95.4103,,,,,,,,,,,,,,,,,,
86,0,-0.0527481,-0.0155322,0.621778,-947.057,-1552.47,95.3934,,,,,,,,,,,,,,,,,,
87,0,-0.0481051,-0.0140309,0.621618,-947.052,-1552.47,95.4372,,,,,,,,,,,,,,,,,,
88,0,-0.0367958,-0.0132938,0.622527,-946.915,-1552.46,95.0602,,,,,,,,,,,,,,,,,,
89,0,-0.0411687,-0.0140762,0.622549,-946.95,-1552.51,95.1682,,,,,,,,,,,,,,,,,,
90,0,-0.0348327,-0.0126419,0.622525,-946.905,-1552.46,95.0907,,,,,,,,,,,,,,,,,,
91,0,-0.0311887,-0.0117077,0.622423,-946.948,-1552.45,95.1163,,,,,,,,,,,,,,,,,,
92,0,-0.0399142,-0.0145476,0.622208,-946.949,-1552.45,95.0078,,,,,,,,,,,,,,,,,,
93,0,-0.0294809,-0.0111849,0.622292,-946.924,-1552.45,95.098,,,,,,,,,,,,,,,,,,
94,0,-0.0304597,-0.0115645,0.622463,-946.935,-1552.46,95.1,,,,,,,,,,,,,,,,,,
95,0,-0.0307226,-0.0112917,0.622354,-946.929,-1552.44,95.1318,,,,,,,,,,,,,,,,,,
96,0,-0.0316241,-0.0118898,0.62236,-946.896,-1552.45,95.0345,,,,,,,,,,,,,,,,,,
97,0,-0.0312546,-0.0114788,0.62251,-946.937,-1552.44,95.1241,,,,,,,,,,,,,,,,,,
98,0,-0.0380182,-0.0130433,0.62242,-946.956,-1552.52,95.1497,,,,,,,,,,,,,,,,,,
99,0,-0.036234,-0.012972,0.622549,-946.908,-1552.46,95.0965,,,,,,,,,,,,,,,,,,
100,0,-0.0327769,-0.0120996,0.622745,-946.928,-1552.46,95.0823,,,,,,,,,,,,,,,,,,
101,0,-0.0342231,-0.0125093,0.622567,-946.902,-1552.48,95.0944,,,,,,,,,,,,,,,,,,
