Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
193,0,-0.0536457,-0.016325,0.648143,-948.235,-1557.27,95.9202
194,0,-0.0516022,-0.0160852,0.648284,-948.233,-1557.26,95.9457
195,0,-0.0511761,-0.0157222,0.648221,-948.239,-1557.26,95.936
196,0,-0.0532935,-0.0164833,0.648137,-948.233,-1557.24,95.9319
197,0,-0.0516377,-0.0161535,0.648234,-948.226,-1557.24,95.9646
198,0,-0.0512773,-0.0158257,0.648318,-948.231,-1557.24,96.0038
199,0,-0.0521729,-0.0163223,0.648303,-948.243,-1557.25,96.007
200,0,-0.052959,-0.0161207,0.64833,-948.211,-1557.23,96.0083
201,0,-0.0510832,-0.0159189,0.648245,-948.202,-1557.23,96.0159
202,0,-0.0509321,-0.0160555,0.648297,-948.215,-1557.22,96.0171
203,0,-0.0524001,-0.0162134,0.648107,-948.23,-1557.22,95.9881
204,0,-0.0515179,-0.0161597,0.648304,-948.202,-1557.22,95.9776
205,0,-0.0528756,-0.0160733,0.648183,-948.227,-1557.23,96.0004
206,0,-0.0519899,-0.0160708,0.648213,-948.204,-1557.24,96.0239
207,0,-0.0488141,-0.0156999,0.648867,-948.157,-1557.28,95.9281
208,0,-0.0502795,-0.0161874,0.648872,-948.16,-1557.31,95.8945
209,0,-0.0546316,-0.0167797,0.648242,-948.225,-1557.23,95.9622
210,0,-0.0514002,-0.016177,0.648176,-948.23,-1557.22,95.9567
211,0,-0.0533926,-0.016472,0.648305,-948.211,-1557.25,95.9618
212,0,-0.0508554,-0.0159083,0.648358,-948.205,-1557.26,95.9379
213,0,-0.0523225,-0.0161538,0.648205,-948.227,-1557.24,95.9331
214,0,-0.0495602,-0.0157955,0.648813,-948.167,-1557.3,95.8699
215,0,-0.0478322,-0.0154668,0.647801,-948.281,-1557.2,95.8299
216,0,-0.0470779,-0.015519,0.64783,-948.292,-1557.2,95.7825
217,0,-0.0513478,-0.0158887,0.648189,-948.222,-1557.24,95.9415
218,0,-0.0520666,-0.0160789,0.648216,-948.217,-1557.24,95.9258
219,0,-0.0525433,-0.0160756,0.648306,-948.203,-1557.25,95.971
220,0,-0.0533165,-0.0161562,0.648144,-948.232,-1557.24,95.982
221,0,-0.0537984,-0.0163084,0.648217,-948.203,-1557.25,95.9579
222,0,-0.049908,-0.0157731,0.648887,-948.147,-1557.29,95.9432
223,0,-0.0520619,-0.016014,0.648217,-948.2,-1557.25,95.992
224,0,-0.0486212,-0.0150191,0.648862,-948.051,-1557.2,95.9967
225,0,-0.0509471,-0.0159577,0.648256,-948.222,-1557.23,95.9584
226,0,-0.0532242,-0.0164851,0.648304,-948.205,-1557.25,95.9753
227,0,-0.0521141,-0.0163747,0.648275,-948.206,-1557.24,95.9706
228,0,-0.0526868,-0.0160159,0.64825,-948.189,-1557.23,96.0033
229,0,-0.0519049,-0.0161778,0.648317,-948.217,-1557.23,96.017
230,0,-0.049511,-0.0157372,0.648898,-948.165,-1557.3,95.9803
231,0,-0.0532741,-0.0162268,0.648172,-948.204,-1557.24,95.9991
232,0,-0.0531096,-0.016538,0.648309,-948.23,-1557.24,95.9617
233,0,-0.0520852,-0.0162924,0.648315,-948.2,-1557.25,95.9748
234,0,-0.0524975,-0.0161897,0.648226,-948.214,-1557.24,95.9828
235,0,-0.0497527,-0.0158537,0.648938,-948.157,-1557.29,95.9267
236,0,-0.0524637,-0.0162293,0.648193,-948.227,-1557.24,95.9538
237,0,-0.0490178,-0.0153188,0.648324,-948.214,-1557.25,95.9198
238,0,-0.0545067,-0.0169563,0.648253,-948.229,-1557.26,95.9305
239,0,-0.0518445,-0.0162245,0.648225,-948.23,-1557.25,95.9107
240,0,-0.0513749,-0.0161002,0.648251,-948.22,-1557.25,95.9311
241,0,-0.0521456,-0.0158242,0.648193,-948.199,-1557.24,95.9605
242,0,-0.0522557,-0.016086,0.648178,-948.216,-1557.24,95.9106
243,0,-0.0518558,-0.0159848,0.648246,-948.231,-1557.26,95.9398
244,0,-0.0523244,-0.0162164,0.648194,-948.208,-1557.25,95.9397
245,0,-0.0502998,-0.0158242,0.648335,-948.205,-1557.24,95.925
246,0,-0.0527406,-0.016477,0.648298,-948.209,-1557.23,95.9548
247,0,-0.0528363,-0.016636,0.648945,-948.108,-1557.23,95.9999
248,0,-0.0521214,-0.0160265,0.648296,-948.203,-1557.22,95.9808
249,0,-0.0521713,-0.0162812,0.648143,-948.233,-1557.22,95.999
250,0,-0.0496552,-0.0156068,0.648907,-948.063,-1557.18,96.0235
251,0,-0.0529036,-0.0162235,0.648311,-948.201,-1557.24,95.9971
252,0,-0.051795,-0.0163806,0.648468,-948.198,-1557.24,96.0035
253,0,-0.0515813,-0.0160875,0.64822,-948.23,-1557.22,95.9745
254,0,-0.0516829,-0.0161647,0.648242,-948.228,-1557.22,96.0173
255,0,-0.049655,-0.015855,0.648902,-948.164,-1557.3,95.9672
256,0,-0.0520575,-0.0160749,0.648408,-948.207,-1557.25,96.0074
257,0,-0.054214,-0.0168226,0.648269,-948.214,-1557.24,96.0185
258,0,-0.0488386,-0.0156761,0.648901,-948.146,-1557.31,95.9257
259,0,-0.0525197,-0.0162777,0.648255,-948.223,-1557.24,95.9632
260,0,-0.0468251,-0.0152716,0.647917,-948.267,-1557.2,95.8266
261,0,-0.0474853,-0.0151304,0.648248,-948.181,-1557.2,95.8771
262,0,-0.0530656,-0.0163654,0.6483,-948.211,-1557.27,95.9508
263,0,-0.0531491,-0.0164062,0.648335,-948.217,-1557.27,95.9569
264,0,-0.0522361,-0.0161734,0.648262,-948.227,-1557.26,95.9349
265,0,-0.0523717,-0.0162398,0.648248,-948.219,-1557.25,95.9394
266,0,-0.0531869,-0.0163087,0.648156,-948.233,-1557.24,95.9441
267,0,-0.0473202,-0.0149944,0.64772,-948.271,-1557.19,95.8737
268,0,-0.0526549,-0.0162556,0.648337,-948.234,-1557.23,95.9937
269,0,-0.0463628,-0.0152996,0.647825,-948.266,-1557.18,95.8702
270,0,-0.0514511,-0.015887,0.648043,-948.228,-1557.22,95.9879
271,0,-0.0516545,-0.0159717,0.648309,-948.226,-1557.24,95.9925
272,0,-0.0508432,-0.0157637,0.648349,-948.198,-1557.22,95.9579
273,0,-0.0526893,-0.0163357,0.648254,-948.224,-1557.23,95.9983
274,0,-0.0527354,-0.016247,0.648225,-948.203,-1557.23,96.025
275,0,-0.0512277,-0.0159072,0.64836,-948.202,-1557.23,96.0006
276,0,-0.0512407,-0.0161223,0.648884,-948.089,-1557.23,96.0122
277,0,-0.0525615,-0.0162949,0.648236,-948.226,-1557.25,95.9811
278,0,-0.0522909,-0.0163214,0.648299,-948.209,-1557.25,96.0035
279,0,-0.0521217,-0.0161837,0.648241,-948.225,-1557.22,95.9881
280,0,-0.0520816,-0.0162423,0.648189,-948.233,-1557.22,95.981
281,0,-0.0518236,-0.0160375,0.648187,-948.216,-1557.25,96.0241
282,0,-0.0528735,-0.0162484,0.648097,-948.239,-1557.25,95.9834
283,0,-0.0519856,-0.0164151,0.64825,-948.249,-1557.24,95.9947
