Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
192,0,0.00699359,0.00390822,-1.31865,888.079,1250.63,89.2602
193,0,-0.000719664,0.00972748,-1.31906,888.106,1250.58,89.2297
194,0,0.00397476,0.00583926,-1.31911,888.061,1250.61,89.3644
195,0,0.000980619,0.00851887,-1.31898,888.078,1250.57,89.2441
196,0,0.00635393,0.00437705,-1.31837,888.097,1250.6,89.2441
197,0,0.00149245,0.00780754,-1.31869,888.082,1250.58,89.2224
198,0,0.00689995,0.00385618,-1.31871,888.098,1250.64,89.2366
199,0,0.00138075,0.00772764,-1.31893,888.074,1250.56,89.2351
200,0,0.00790825,0.00295837,-1.3188,888.088,1250.63,89.2587
201,0,0.000740504,0.00910079,-1.31893,888.095,1250.59,89.196
202,0,0.00359589,0.00633733,-1.31871,888.083,1250.59,89.1673
203,0,0.00129367,0.00785554,-1.31857,888.069,1250.57,89.2203
204,0,0.00192851,0.00756072,-1.31897,888.077,1250.52,89.228
205,0,0.00690233,0.0038097,-1.31879,888.053,1250.57,89.287
206,0,-0.00119843,0.0102312,-1.31875,888.081,1250.6,89.2009
207,0,0.00571276,0.00412005,-1.31913,888.073,1250.6,89.293
208,0,0.00231895,0.00740595,-1.31887,888.071,1250.56,89.2814
209,0,0.0025209,0.00700537,-1.31873,888.052,1250.58,89.256
210,0,-0.000310247,0.00975415,-1.31863,888.117,1250.61,89.1714
211,0,0.0287384,-0.02152,-1.31975,888.344,1250.63,88.3696
212,0,0.0304789,-0.0220877,-1.31988,888.401,1250.67,88.4925
213,0,0.0284438,-0.0201208,-1.31996,888.422,1250.7,88.485
214,0,0.0125323,-0.00320391,-1.31939,888.178,1250.53,88.9967
215,0,0.00213269,0.00788481,-1.31874,888.109,1250.57,89.2465
216,0,0.00603343,0.00409476,-1.31883,888.107,1250.62,89.3109
217,0,0.000457622,0.00924311,-1.31896,888.08,1250.54,89.2931
218,0,0.00308914,0.00646642,-1.31882,888.105,1250.56,89.2591
